Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
PTEN	90	52	8	0	248	118	0	36	0	552	323	323
PIK3CA	0	0	7	0	349	3	0	2	1	362	254	254
ARID1A	107	37	1	1	67	112	0	5	0	330	227	227
TTN	23	11	0	1	1569	192	0	25	0	1821	204	204
TP53	21	5	4	1	160	19	0	7	0	217	196	196
PIK3R1	18	12	43	7	54	43	0	20	0	197	150	150
KMT2D	54	5	1	2	177	20	0	3	0	262	138	138
MUC16	10	6	1	0	538	49	0	10	0	614	130	130
CTNNB1	0	0	1	0	145	0	0	0	0	146	129	129
CTCF	25	33	0	0	59	35	0	5	0	157	128	128
CSMD3	7	2	0	0	336	53	0	12	0	410	122	122
MUC5B	11	5	0	0	245	10	0	3	0	274	117	117
ZFHX3	29	13	1	1	172	26	0	0	0	242	115	115
RYR2	6	1	0	0	356	40	0	13	0	416	113	113
OBSCN	5	2	0	0	272	9	0	7	0	295	113	113
KMT2B	40	7	0	0	131	16	1	2	0	197	109	109
CHD4	6	2	0	0	142	11	0	3	0	164	109	109
FAT4	6	2	0	0	295	30	0	5	0	338	108	108
SYNE1	3	4	0	0	359	41	0	7	0	414	107	107
ZFHX4	10	6	0	0	283	22	1	0	0	322	103	103
DNAH5	9	3	0	0	256	25	0	9	0	302	103	103
TAF1	4	0	0	1	160	9	0	3	0	177	103	103
NEB	9	5	0	0	335	27	0	17	0	393	102	102
FAT1	10	5	0	0	206	36	0	1	0	258	102	102
FLG	3	2	0	0	180	18	0	0	0	203	102	102
ARHGAP35	22	6	2	0	74	43	0	0	0	147	102	102
DMD	3	4	0	0	267	51	0	10	0	335	101	101
DNAH7	17	5	0	0	224	34	0	3	0	283	101	101
USH2A	4	2	0	0	282	33	0	6	0	327	99	99
MACF1	6	5	0	0	236	34	0	7	0	288	98	98
PCLO	18	9	0	0	205	32	0	3	0	267	98	98
RYR1	7	2	1	0	241	10	0	9	0	270	97	97
KRAS	0	1	0	1	95	0	0	0	0	97	97	97
RYR3	4	1	0	0	272	23	0	6	0	306	96	96
FAT3	5	3	0	0	249	34	0	3	0	294	95	95
DNAH10	3	2	0	0	232	26	0	4	0	267	95	95
FBXW7	2	3	0	1	89	16	0	1	0	112	94	94
LRP2	0	5	0	0	254	24	0	11	0	294	93	93
DST	5	6	0	0	226	48	0	3	0	288	93	93
AHNAK2	5	2	0	0	211	15	0	0	0	233	93	93
HMCN1	7	5	1	0	278	24	0	12	0	327	92	92
CCDC168	17	14	0	0	423	67	0	0	0	521	91	91
ABCA13	4	5	0	0	270	23	0	6	0	308	91	91
DNAH11	11	2	0	0	210	37	0	7	0	267	91	91
CSMD1	1	2	0	0	199	23	0	5	0	230	91	91
AHNAK	6	1	0	0	193	10	0	1	0	211	91	91
NSD1	25	3	0	0	100	18	0	2	0	148	91	91
LRP1B	3	3	0	0	262	31	0	12	0	311	90	90
HUWE1	2	1	0	0	238	12	0	4	0	257	90	90
NBEA	8	3	0	0	173	35	0	4	0	223	90	90
FAT2	6	3	0	0	192	17	0	3	0	221	90	90
SSPO	13	8	0	0	164	10	0	4	0	199	90	90
CACNA1E	4	0	1	0	170	12	0	6	0	193	90	90
TENM1	3	1	0	0	169	17	0	2	0	192	90	90
ATM	10	3	0	0	123	33	1	5	0	175	90	90
DNAH8	6	5	0	0	269	27	0	14	0	321	89	89
HERC2	6	3	1	0	239	16	0	8	0	273	89	89
MDN1	8	2	0	0	189	23	0	3	0	225	89	89
MED12	2	0	1	0	140	9	0	5	0	157	89	89
